[2024-10-06T20:52:04.980+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.990+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.991+0000] {taskinstance.py:1361} INFO - Starting attempt 14 of 14
[2024-10-06T20:52:05.007+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): upload_to_db> on 2024-10-05 00:00:00+00:00
[2024-10-06T20:52:05.013+0000] {standard_task_runner.py:57} INFO - Started process 65 to run task
[2024-10-06T20:52:05.017+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'upload_to_db', 'scheduled__2024-10-05T00:00:00+00:00', '--job-id', '133', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpjn17h6h9']
[2024-10-06T20:52:05.020+0000] {standard_task_runner.py:85} INFO - Job 133: Subtask upload_to_db
[2024-10-06T20:52:05.284+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Brisbane International', 'Australia/Brisbane', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'Qantas', '503')
[2024-10-06T20:52:05.285+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Cam Ranh', 'Asia/Ho_Chi_Minh', '2', 'VietJet Air', '839')
[2024-10-06T20:52:05.285+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Cam Ranh', 'Asia/Ho_Chi_Minh', '2', None, '4504')
[2024-10-06T20:52:05.285+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Cam Ranh', 'Asia/Ho_Chi_Minh', '2', 'FlexFlight', '4839')
[2024-10-06T20:52:05.286+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Cam Ranh', 'Asia/Ho_Chi_Minh', '2', None, '2839')
[2024-10-06T20:52:05.286+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Duong Dong', 'Asia/Ho_Chi_Minh', '2', 'VietJet Air', '975')
[2024-10-06T20:52:05.286+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Duong Dong', 'Asia/Ho_Chi_Minh', '2', None, '4540')
[2024-10-06T20:52:05.287+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Duong Dong', 'Asia/Ho_Chi_Minh', '2', 'FlexFlight', '4975')
[2024-10-06T20:52:05.287+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Cam Ranh', 'Asia/Ho_Chi_Minh', 'Seoul (Incheon)', 'Asia/Seoul', '1', 'Asiana Airlines', '7745')
[2024-10-06T20:52:05.287+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Suvarnabhumi International', 'Asia/Bangkok', 'Seoul (Incheon)', 'Asia/Seoul', '1', 'Thai Airways International', '6726')
[2024-10-06T20:52:05.288+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Suvarnabhumi International', 'Asia/Bangkok', 'Seoul (Incheon)', 'Asia/Seoul', '1', 'Air Canada', '6997')
